,Product_name,Brand,Item_id
0,Futurist Skin Tint Serum Foundation SPF 27,EstÃ©e Lauder,2612458
1,Dior Forever Fluid Skin Glow Foundation,Dior,2605037
2,BAREPRO 24HR Wear Skin-Perfecting Matte Liquid Foundation Mineral SPF 20,bareMinerals,2619782
3,Futurist Hydra Rescue Moisturizing Foundation SPF 45,EstÃ©e Lauder,2559137
4,Mini CC+ Cream with SPF 50+,IT Cosmetics,2603710
5,Teint Idole Ultra Wear 24H Full Coverage Foundation,LancÃ´me,2608119
6,Studio Fix Powder Plus Foundation Makeup,MAC,2510813
7,Light Reflecting Advanced Skincare Foundation,NARS,2591117
8,Studio Fix Fluid SPF15 24HR Matte Foundation + Oil Control,MAC,2622206
9,Born This Way Natural Finish Longwear Liquid Foundation,Too Faced,2290020
10,CC+ Cream Natural Matte Foundation with SPF 40,IT Cosmetics,2621797
11,Even Better Makeup Broad Spectrum SPF 15 Foundation,Clinique,2206255
12,Pro Filt'r Soft Matte Longwear Liquid Foundation,FENTY BEAUTY by Rihanna,2592558
13,CC+ Cream Illumination SPF 50+,IT Cosmetics,2287681
14,Face Bond Self-Setting Waterproof Foundation,Urban Decay Cosmetics,2623593
15,Natural Radiant Longwear Foundation,NARS,2523154
16,Always On Skin-Balancing Foundation with Hyaluronic Acid + Adaptogens,Smashbox,2610459
17,Eaze Drop Blurring Skin Tint,FENTY BEAUTY by Rihanna,2592608
18,Stay-Matte Sheer Pressed Powder Foundation,Clinique,2153956
19,Bye Bye Foundation Full Coverage Moisturizer with SPF 50+,IT Cosmetics,2523634
20,Dual Finish Multi-Tasking Lightweight Pressed Powder Foundation,LancÃ´me,2235364
21,Face Tape Full Coverage Foundation,Tarte,2540290
22,Soft'Lit Naturally Luminous Hydrating Longwear Foundation,FENTY BEAUTY by Rihanna,2624152
23,Superpowder Double Face Makeup Foundation,Clinique,2260625
24,Super Stay 24H Skin Tint + Vitamin C,Maybelline,2610824
25,RÃ©nergie Lift Makeup Lightweight Liquid Foundation SPF 27,LancÃ´me,2561672
26,Infallible Up to 32 Hour Fresh Wear Foundation,L'OrÃ©al,2538170
27,Celebration Full Coverage Powder Foundation,IT Cosmetics,2264053
28,CC+ Airbrush Perfecting Powder Foundation,IT Cosmetics,2543894
29,Fit Me Matte + Poreless Liquid Foundation,Maybelline,2282913
30,Tinted Moisturizer Natural Skin Perfector Broad Spectrum SPF 30,Laura Mercier,2560092
31,Amazonian Clay 16-Hour Full Coverage Foundation,Tarte,2581434
32,Airbrush Flawless Longwear Foundation,Charlotte Tilbury,2624530
33,Superbalanced Makeup Foundation,Clinique,2153598
34,Double Wear Stay-in-Place Matte Powder Foundation Makeup,EstÃ©e Lauder,2592082
35,ULTRA LE TEINT Ultrawear All-Day Comfort Flawless Finish Foundation,CHANEL,2585239
36,Teint IdÃ´le Ultra Wear Foundation Stick,LancÃ´me,2577708
37,Your Skin But Better Foundation + Skincare,IT Cosmetics,2568657
38,HY-GLAM Powder Foundation,NATASHA DENONA,2624364
39,Studio Radiance Serum Powered Foundation,MAC,2613961
40,Veil Hydrating Skin Tint,HOURGLASS,2611435
41,Stay-Matte Oil-Free Makeup Foundation,Clinique,2247037
42,Charlotte's Beautiful Skin Foundation,Charlotte Tilbury,2619495
43,More Than a Pretty Face Skin-Caring Foundation,Polite Society,2615146
44,Acne Solutions Liquid Makeup Foundation,Clinique,2619813
45,Teint Idole Ultra Wear Care and Glow Foundation,LancÃ´me,2598637
46,Radiant Skin Brightening Serum Skin Tint SPF 30,TULA,2598954
47,COMPLEXION RESCUE Tinted Moisturizer Mineral SPF 30,bareMinerals,2283391
48,Even Better Clinical Serum Foundation Broad Spectrum SPF 25,Clinique,2574625
49,Good Apple Full-Coverage Transfer-Proof Serum Foundation,KVD Beauty,2604575
50,4-In-1 Love Your Selfie Longwear Foundation & Concealer,PÃR,2544510
51,Even Better Refresh Hydrating and Repairing Makeup Foundation,Clinique,2541677
52,Infallible 24H Fresh Wear Foundation In A Powder,L'OrÃ©al,2575170
53,LES BEIGES Water-Fresh Tint,CHANEL,2574253
54,Always On Skin-Balancing Foundation with Hyaluronic Acid + Adaptogens,Smashbox,2610447
55,Celebration Foundation Illumination,IT Cosmetics,2269897
56,LES BEIGES Healthy Glow Foundation Hydration and Longwear,CHANEL,2571508
57,Shape Tape Cloud CC Cream Broad Spectrum SPF 15 Sunscreen,Tarte,2590218
58,PurePressed Base Mineral Foundation Refill,jane iredale,2595189
59,"Medium Coverage, Natural Finish Luminous Foundation",Anastasia Beverly Hills,2551421
60,Hydromaniac Hydrating Dewy Foundation,Urban Decay Cosmetics,2567739
61,Conceal + Perfect 2-in-1 Foundation + Concealer,Milani,2519968
62,Skin Twin Featherweight Foundation,Beautycounter,2606483
63,Lightform Extended Hydration Foundation,Morphe,2621364
64,Good Apple Skin-Perfecting Hydrating Foundation Balm,KVD Beauty,2577085
65,Real Flawless Weightless Perfecting Waterproof Foundation,Laura Mercier,2608627
66,VITALUMIÃRE AQUA Ultra-Light Skin Perfecting Sunscreen Makeup Broad Spectrum SPF 15,CHANEL,2528581
67,Double Wear Sheer Long-Wear Foundation SPF 19,EstÃ©e Lauder,2586158
68,Pretty Fresh Hyaluronic Hydrating Foundation,ColourPop,2566879
69,Amazonian Clay Blurring Powder Foundation,Tarte,2604703
70,4-in-1 Tinted Moisturizer Broad Spectrum SPF 20,PÃR,2241131
71,Double Wear Stay in Place Matte Powder Foundation Refill,EstÃ©e Lauder,2593713
72,Travel-Size Face Tape Full Coverage Foundation,Tarte,2557013
73,nan,nan,2519481
74,Instant Age Rewind Instant Perfector 4-In-1 Glow Makeup,Maybelline,2596456
75,Vanish Seamless Finish Foundation Stick,HOURGLASS,2575932
76,True Match Super-Blendable Foundation,L'OrÃ©al,2602421
77,Futurist Skin Tint Serum Foundation SPF 27,EstÃ©e Lauder,2612381
78,NÂ°1 DE CHANEL Revitalizing Foundation,CHANEL,2605425
79,LES BEIGES Water-Fresh Complexion Touch,CHANEL,2595874
80,Sweetener Foundation,r.e.m. beauty,2603299
81,Ambient Soft Glow Foundation,HOURGLASS,2599657
82,Forever Natural Nude Foundation,Dior,2604394
83,Maracuja Juicy Glow Tint,Tarte,2607571
84,PHYTO-PIGMENTS Flawless Serum Foundation,Juice Beauty,2295701
85,I Am Magic Velvety Matte Foundation,Juvia's Place,2550494
86,Original Pure Serum Radiant Natural Liquid Foundation Mineral SPF 20,bareMinerals,2611614
87,Flawless Creator Liquid Foundation Drops,Dermablend,2515171
88,Skin Fetish: Sublime Perfection Foundation,PAT McGRATH LABS,2613894
89,Double Wear Maximum Cover Camouflage Foundation For Face and Body SPF 15,EstÃ©e Lauder,2520898
90,Fit Me Dewy + Smooth Foundation,Maybelline,2225223
91,Can't Stop Won't Stop 24HR Full Coverage Matte Foundation,NYX Professional Makeup,2531978
92,Born This Way Soft Matte FoundationÂ Â,Too Faced,2627298
93,Bare With Me Blur Tint Soft Matte Foundation,NYX Professional Makeup,2601294
94,Pro Filt'r Soft Matte Powder Foundation,FENTY BEAUTY by Rihanna,2592363
95,Featuring You Hydrating Skin Enhancing Tint SPF 30,WYN BEAUTY,2622290
96,Double Wear Makeup Pump,EstÃ©e Lauder,2515746
97,Hint Hint Skin Tint,Morphe 2,2569296
98,Camo Hydrating CC Cream SPF 30,e.l.f. Cosmetics,2617546
99,Skin Silk Serum Foundation,Revolution Beauty,2618615
100,I am Magic Powder Foundation,Juvia's Place,2607291
101,Smooth Finish Foundation Powder,Laura Mercier,2586418
102,Conceal & Define Full Coverage Foundation,Revolution Beauty,2542368
103,Conceal + Perfect Smooth Finish Cream-To-Powder Foundation,Milani,2558962
104,TRUE COLOR Skin Perfecting Stick Foundation SPF 15,BLK/OPL,2579236
105,Skin Foundation Stick,BOBBI BROWN,2628927
106,Pro Matte Mixing Pigment,L.A. Girl,2540123
107,I am Magic Natural Radiance Foundation,Juvia's Place,2607324
108,Mini Halo Healthy Glow Tinted Moisturizer Broad Spectrum SPF 25,Smashbox,2596512
