,Item_id,pros,cons,rating,num_reviews,5_stars,4_stars,3_stars,2_stars,1_star
0,2605037,['No Pros'],['No Cons'],4.5,2241 Reviews,1516,508,124,57,36
1,2608119,['No Pros'],['No Cons'],4.5,9778 Reviews,6938,1772,438,199,431
2,2621797,"['27Easy to Use', '24Good Color Coverage', '20Good Texture', '20Feels Great on Skin', '20Good for Skin']","['17Poor Texture', '9Product Transfers', '7Not Right for Skin Type', '7Not Effective', '2Product Scent']",4.4,4101 Reviews,2591,1011,311,96,92
3,2592558,['No Pros'],['No Cons'],4.7,3858 Reviews,3497,60,82,89,130
4,2623593,['No Pros'],['No Cons'],4.4,1908 Reviews,1156,486,168,56,42
5,2523154,"['147Blends Well', '142Goes On Smoothly', '141Easy To Apply', '140Good Pigmentation', '121Lightweight']","[""66Doesn't Stay On"", '59Pricey / Poor Value', '27Causes Breakouts', '25Too Greasy', '19Poor Coverage']",3.9,1715 Reviews,951,231,165,167,201
6,2610459,['No Pros'],['No Cons'],4.4,1287 Reviews,797,285,109,50,46
7,2592608,['No Pros'],"['1Difficult to Apply', ""1Doesn't Work""]",4.2,542 Reviews,349,55,49,57,32
8,2624152,['No Pros'],['No Cons'],4.6,1511 Reviews,1037,357,80,24,13
9,2610824,['No Pros'],['No Cons'],4.1,583 Reviews,310,133,76,32,32
10,2560092,"['3Lightweight', '1I love this product. Feels n looks good.', '1Light coverage', '1No brushes needed', '1Spf']","['2Oxidizes', '1Orange', '1Oxidized', '1Smells weird', '1Bad for sensitive skin']",4.1,655 Reviews,392,98,42,54,69
11,2624530,['No Pros'],['No Cons'],3.8,43 Reviews,28,1,1,3,10
12,2585239,['1Beautiful on the skin!  Nice coverage!'],['1Not a light enough shade for my pale skin'],4.5,150 Reviews,116,12,9,6,7
13,2624364,['No Pros'],['No Cons'],4.5,815 Reviews,542,179,68,16,10
14,2611435,['No Pros'],['No Cons'],4.6,298 Reviews,237,26,17,9,9
15,2619495,['No Pros'],['No Cons'],4.4,575 Reviews,355,143,37,21,19
16,2615146,['No Pros'],['No Cons'],4.2,259 Reviews,153,48,30,15,13
17,2598637,['No Pros'],['No Cons'],4.5,6671 Reviews,4487,1524,440,110,110
18,2598954,['No Pros'],['No Cons'],4.1,679 Reviews,420,87,61,51,60
19,2604575,['No Pros'],['No Cons'],4.1,1968 Reviews,943,546,308,95,76
20,2606483,['No Pros'],['No Cons'],4.6,1901 Reviews,1530,194,89,47,41
21,2621364,['No Pros'],['No Cons'],4.4,594 Reviews,379,135,46,17,17
22,2608627,['No Pros'],['No Cons'],4.1,583 Reviews,345,101,44,44,49
23,2528581,['No Pros'],['No Cons'],4.5,63 Reviews,48,7,2,2,4
24,2604703,['No Pros'],['No Cons'],4.1,47 Reviews,31,4,4,2,6
25,2602421,['No Pros'],['No Cons'],4.4,4303 Reviews,2779,944,284,129,167
26,2595874,['No Pros'],['No Cons'],4.4,41 Reviews,29,5,3,2,2
27,2603299,['No Pros'],['No Cons'],4.4,547 Reviews,389,66,39,35,18
28,2599657,['No Pros'],['No Cons'],4.0,78 Reviews,47,4,12,12,3
29,2604394,['No Pros'],['No Cons'],4.7,319 Reviews,256,44,12,4,3
30,2607571,['No Pros'],['No Cons'],3.8,68 Reviews,31,10,13,7,7
31,2611614,['No Pros'],['No Cons'],3.9,739 Reviews,297,203,131,61,47
32,2613894,['No Pros'],['No Cons'],4.2,27 Reviews,18,2,4,1,2
33,2627298,"['1049Matte Finish', '588All Day Coverage', '526Weightless and Comfortable', '495Combination Skin', '465Natural Finish']",['No Cons'],4.4,1675 Reviews,1016,424,141,31,63
34,2601294,"['23Easy To Use', '22Lightweight', '19Good Color Payoff', '17Good Value', '17Effective']",['No Cons'],3.7,697 Reviews,286,149,98,86,78
